,submission_id,submission_state,education,employment_status,percentage,financial_situation,age,are_children_attending_face_to_face_classes,does_home_shows_severe_deficit_of_electricity,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,geography,are_there_teachers_at_scheduled_class_hours,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_children_have_internet_connection,do_school_and_the_teachers_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
1307,5048887361667072,Distrito Federal,9,I am unemployed,0.9,Better_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Female,0,1,1,1,0
1310,5655533725155328,Zulia,5,I am a student,0.96,Better_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,0,1,1,1
1311,5983165876535296,Zulia,6,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
1313,5687832533532672,Zulia,6,I am a student,0.96,Bad_situation,16 to 25 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,1,1,Male,0,1,1,1,1
1314,6390982148096000,Zulia,4,"I work part-time, either as an employee or self-employed",0.96,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,1,1,0
1315,6485885356081152,Zulia,4,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,There are not enough,1,1,Male,0,0,0,1,1
1316,4983520576667648,Zulia,9,"I work full-time, either as an employee or self-employed",0.96,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
1317,5429391751643136,Zulia,10,"I work full-time, either as an employee or self-employed",0.96,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,1,0
1324,4673539784572928,Zulia,8,"I work full-time, either as an employee or self-employed",0.96,Bad_situation,16 to 25 years old,0,1,No,1,Rural,Irregularly,1,1,Male,0,1,1,1,1
1326,5170477550272512,Carabobo,4,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,0,0
1327,6023388413034496,Carabobo,5,I am a student and I work part-time,0.93,Midium_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,0
1328,4792339435618304,Carabobo,6,"I do housework, fulfilling domestic tasks, looking after children",0.93,Bad_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,0,1,Male,0,1,1,1,0
1329,4906152327643136,Sucre,8,None of the above,0.98,Bad_situation,16 to 25 years old,0,1,2 days,1,Suburban/Peri-urban,There are not enough,1,1,Female,0,0,0,1,0
1330,6599274203971584,Sucre,5,I am a student,0.98,Bad_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,0,0,Male,0,1,1,0,0
1333,5369368644157440,Yaracuy,9,"I work full-time, either as an employee or self-employed",0.99,Better_situation,16 to 25 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,0,0
1336,6103109784043520,Portuguesa,5,I am a student and I work part-time,0.97,Better_situation,26 to 35 years old,0,1,No,1,Suburban/Peri-urban,Irregularly,0,1,Male,0,1,1,1,1
1338,6107532979601408,Portuguesa,4,I am unemployed,0.97,Midium_situation,Over 45 years old,0,0,No,1,City center or metropolitan area,There are enough,0,0,Male,0,1,0,1,0
1340,5031588172922880,Nueva Esparta,7,"I work part-time, either as an employee or self-employed",0.93,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,0,1,1
1342,5146913900068864,Nueva Esparta,5,"I work full-time, either as an employee or self-employed",0.93,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,1,1,1,0
1343,5525018326073344,Nueva Esparta,5,I am unemployed,0.93,Midium_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,1,Female,0,1,0,1,0
1344,5263409854808064,Nueva Esparta,9,"I work full-time, either as an employee or self-employed",0.93,Better_situation,26 to 35 years old,1,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,0,1,1,0,1
1346,5222703429844992,Monagas,9,"I work part-time, either as an employee or self-employed",0.97,Bad_situation,26 to 35 years old,0,0,No,1,Rural,Irregularly,0,0,Female,0,1,1,1,0
1347,5243446846816256,Monagas,8,None of the above,0.97,Bad_situation,16 to 25 years old,0,0,No,1,Rural,There are enough,1,1,Female,0,1,1,1,0
1349,4682967908876288,Monagas,5,"I work full-time, either as an employee or self-employed",0.97,Bad_situation,26 to 35 years old,0,0,No,0,Rural,There are not enough,0,0,Male,0,0,1,0,1
1350,5225507305291776,Anzoátegui,6,"I work part-time, either as an employee or self-employed",0.95,Better_situation,Over 45 years old,1,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,0,1,0
1356,6438144814874624,Zulia,8,I am a student and I work part-time,0.96,Better_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,1,1,Female,0,1,1,1,0
1358,5980166059982848,Zulia,7,"I work part-time, either as an employee or self-employed",0.96,Better_situation,26 to 35 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,1
1364,5033381606981632,Anzoátegui,9,"I do housework, fulfilling domestic tasks, looking after children",0.95,Better_situation,Over 45 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,1,0,0
1365,6098790254903296,Anzoátegui,9,"I work part-time, either as an employee or self-employed",0.95,Good_situation,Over 45 years old,1,0,2 days,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,1,0
1366,5319978936172544,Anzoátegui,5,I am unemployed,0.95,Bad_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,1,Female,0,1,0,1,0
1367,6271176656814080,Anzoátegui,4,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,1,Male,0,1,1,0,0
1368,5722070418980864,Anzoátegui,6,"I work part-time, either as an employee or self-employed",0.95,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Male,0,1,0,0,0
1370,4670938309459968,Anzoátegui,6,"I do housework, fulfilling domestic tasks, looking after children",0.95,Good_situation,26 to 35 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
1371,5625324401590272,Anzoátegui,8,"I work part-time, either as an employee or self-employed",0.95,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
1372,4734273709146112,Anzoátegui,9,I am unemployed,0.95,Midium_situation,26 to 35 years old,1,0,No,1,Suburban/Peri-urban,There are enough,0,1,Female,0,0,0,1,0
1374,6339846502350848,Anzoátegui,6,"I work part-time, either as an employee or self-employed",0.95,Good_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,1,0
1375,5640282229178368,Anzoátegui,2,I am a student and I work part-time,0.95,Bad_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,1,0,Male,0,0,1,1,0
1377,5858920559280128,Anzoátegui,5,None of the above,0.95,Bad_situation,26 to 35 years old,0,0,No,1,Rural,Irregularly,0,0,Female,0,0,0,0,0
1378,6682235456716800,Anzoátegui,6,"I do housework, fulfilling domestic tasks, looking after children",0.95,Better_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,0,0,1,1
1379,6012600981913600,Anzoátegui,5,I am a student,0.95,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,0,0,0,0
1382,5744735833817088,Anzoátegui,7,I am unemployed,0.95,Bad_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,0
1383,5419514132168704,Anzoátegui,5,"I do housework, fulfilling domestic tasks, looking after children",0.95,Bad_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,There are enough,0,0,Female,0,1,0,0,1
1385,5059559466205184,Anzoátegui,6,"I do housework, fulfilling domestic tasks, looking after children",0.95,Midium_situation,36 to 45 years old,0,0,No,1,Rural,There are enough,0,1,Female,0,0,1,0,0
1386,5209789385932800,Anzoátegui,7,"I work full-time, either as an employee or self-employed",0.95,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
1387,5325388984352768,Anzoátegui,2,I am unable to work due to long-term illness or disability,0.95,Bad_situation,Over 45 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,0,0,1,1
1391,4586371879796736,Anzoátegui,5,I am a student and I work part-time,0.95,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,1,0,0,0
1392,6591961820823552,Anzoátegui,9,"I work full-time, either as an employee or self-employed",0.95,Midium_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Male,0,1,1,0,0
1395,5116613274894336,Anzoátegui,9,"I work full-time, either as an employee or self-employed",0.95,Good_situation,16 to 25 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,1,Female,0,1,1,1,0
1398,6224422209060864,Anzoátegui,4,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,36 to 45 years old,0,0,No,0,Rural,Irregularly,0,1,Male,0,0,0,0,0
1400,6148767433883648,Anzoátegui,6,I am unemployed,0.95,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,0,0
1401,5323436166742016,Anzoátegui,10,"I work full-time, either as an employee or self-employed",0.95,Good_situation,16 to 25 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,1,0,Female,0,1,1,1,0
1402,5604826133299200,Anzoátegui,9,"I work full-time, either as an employee or self-employed",0.95,Good_situation,16 to 25 years old,0,0,No,1,City center or metropolitan area,There are enough,1,0,Female,0,1,1,1,0
1406,4655463408074752,Zulia,7,I am retired,0.96,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
1410,6478775205494784,Zulia,6,I am unemployed,0.96,Midium_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,There are enough,1,0,Male,0,1,0,1,0
1411,6548980740915200,Zulia,9,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Male,0,0,0,1,0
1412,5081008767762432,Zulia,5,"I work part-time, either as an employee or self-employed",0.96,Better_situation,16 to 25 years old,0,0,No,0,Rural,There are not enough,1,0,Male,0,1,1,1,1
1414,6309086579916800,Falcón,6,I am a student and I work part-time,0.97,Bad_situation,26 to 35 years old,1,1,No,1,Rural,Irregularly,1,1,Female,0,0,0,1,1
1416,5647553055162368,Zulia,5,I am unemployed,0.96,Good_situation,26 to 35 years old,0,1,No,0,Rural,Irregularly,0,0,Female,0,1,1,1,1
1417,4638313737879552,Miranda,4,"I work part-time, either as an employee or self-employed",0.88,Good_situation,26 to 35 years old,1,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,0,0,0,1,0
1420,6575666899451904,Miranda,5,I am unemployed,0.88,Bad_situation,16 to 25 years old,0,0,No,0,Rural,There are enough,0,0,Male,0,1,1,0,0
1422,4594602446422016,Miranda,5,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,36 to 45 years old,0,0,No,0,Rural,Irregularly,0,0,Male,0,0,1,0,0
1423,6495458922070016,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Bad_situation,26 to 35 years old,0,0,1 day,1,Rural,Irregularly,1,0,Female,0,1,0,0,0
1424,5421102196326400,Miranda,9,I am unemployed,0.88,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,0,0,0
1428,5999521111998464,Mérida,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,1,0
1429,6720567016423424,Mérida,10,"I work full-time, either as an employee or self-employed",0.93,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
1434,6304971367907328,Zulia,8,I am a student and I work part-time,0.96,Bad_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,0,0
1435,5441573956616192,Carabobo,8,"I work full-time, either as an employee or self-employed",0.93,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,1,1,1,0
1436,6693373850419200,Zulia,5,I am a student,0.96,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,1,0,Prefer not to answer,0,0,0,1,0
1439,4940647424589824,Carabobo,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
1443,4868161865515008,Cojedes,9,"I work full-time, either as an employee or self-employed",0.97,Good_situation,36 to 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,1,Male,0,0,1,1,0
1446,4849745045749760,Aragua,5,I am a student,0.96,Good_situation,16 to 25 years old,0,0,2 days,1,Suburban/Peri-urban,There are not enough,1,0,Male,0,1,1,1,0
1447,6294366942658560,Bolívar,5,I am unemployed,0.96,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,0,0,1,1
1448,5152199310311424,Bolívar,7,I am unemployed,0.96,Bad_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,1,1,Female,0,1,1,0,0
1450,4844454703005696,Bolívar,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,0,1,1,1,0
1452,4527899842707456,Bolívar,5,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,16 to 25 years old,0,0,No,0,Rural,There are not enough,1,0,Female,0,1,1,0,0
1453,5214131413319680,Bolívar,7,I am a student,0.96,Midium_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Female,0,1,1,0,0
1454,5759869956390912,Bolívar,9,I am a student,0.96,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Female,0,0,0,1,0
1456,6643050708467712,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Better_situation,26 to 35 years old,0,0,No,1,Suburban/Peri-urban,There are not enough,0,0,Female,0,0,0,0,0
1457,5228052006305792,Lara,5,"I do housework, fulfilling domestic tasks, looking after children",0.95,Bad_situation,26 to 35 years old,0,0,No,0,Rural,There are not enough,0,0,Female,0,1,0,0,0
1458,5347869581377536,Lara,7,I am unemployed,0.95,Better_situation,16 to 25 years old,1,1,No,0,Rural,Irregularly,1,0,Male,0,0,1,0,1
1459,5782371088728064,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,0,0,0,0
1460,6131063377362944,Lara,8,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,0,Female,0,1,1,1,0
1461,6367558369542144,Lara,4,"I work full-time, either as an employee or self-employed",0.95,Bad_situation,36 to 45 years old,0,0,No,1,City center or metropolitan area,There are not enough,0,0,Male,0,1,1,0,1
1462,5047370852335616,Lara,5,"I work part-time, either as an employee or self-employed",0.95,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
1465,6568569415663616,Lara,5,"I work part-time, either as an employee or self-employed",0.95,Better_situation,Over 45 years old,0,1,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,1,1,1,0
1468,5026303769313280,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,0,1,1,1,0
1471,4503878208061440,Táchira,5,I am unemployed,0.93,Bad_situation,16 to 25 years old,1,1,No,1,Rural,There are enough,1,0,Female,0,1,0,1,1
1472,5845065061892096,Táchira,5,I am unemployed,0.93,Bad_situation,Over 45 years old,0,0,4 days,1,Rural,Irregularly,1,0,Male,0,1,1,1,1
1475,5683441214685184,Táchira,5,I am unemployed,0.93,Bad_situation,Over 45 years old,0,0,4 days,1,Rural,Irregularly,1,0,Female,0,1,1,1,1
1476,5418276627939328,Táchira,5,I am a student,0.93,Good_situation,16 to 25 years old,1,1,No,1,Rural,There are not enough,1,0,Male,0,1,0,0,1
1477,5319735330996224,Táchira,7,"I work full-time, either as an employee or self-employed",0.93,Bad_situation,36 to 45 years old,0,1,No,0,Rural,Irregularly,0,0,Female,0,1,1,1,0
1479,4983245447102464,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,1,No,0,City center or metropolitan area,There are not enough,0,0,Female,0,1,0,1,0
1482,5199286999711744,Barinas,9,"I work part-time, either as an employee or self-employed",0.97,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,0,0,1,0
1486,5013972968538112,Zulia,7,I am a student and I work part-time,0.96,Midium_situation,16 to 25 years old,0,0,2 days,1,Rural,There are not enough,1,0,Male,0,0,0,1,0
1490,5013591001661440,Zulia,5,"I work full-time, either as an employee or self-employed",0.96,Better_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,1,1,0
1498,5137981810933760,Lara,8,"I work part-time, either as an employee or self-employed",0.95,Good_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,0,1,1,0,0
1499,4510144649232384,Lara,8,I am a student,0.95,Bad_situation,16 to 25 years old,1,0,No,1,Rural,There are not enough,0,1,Male,0,0,0,1,1
1501,5653930360176640,Lara,3,I am retired,0.95,Better_situation,Over 45 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,1,Female,0,1,1,0,0
1502,4718342920470528,Lara,8,I am a student and I work part-time,0.95,Better_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,0,1,1,1,1
1504,6105640593522688,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,1,0
1505,6038290817089536,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,26 to 35 years old,0,1,No,0,City center or metropolitan area,There are not enough,0,0,Female,0,0,0,0,0
1506,5130972239757312,Lara,9,I am retired,0.95,Midium_situation,16 to 25 years old,0,1,No,1,Rural,Irregularly,1,1,Male,0,1,1,1,1
1509,4521888029343744,Lara,2,I am a student,0.95,Good_situation,16 to 25 years old,1,0,No,0,Suburban/Peri-urban,There are enough,1,0,Male,0,1,1,1,1
1510,4920063592497152,Lara,9,"I work full-time, either as an employee or self-employed",0.95,Bad_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,1,Female,0,1,0,1,0
1513,6163438840840192,Carabobo,6,"I work part-time, either as an employee or self-employed",0.93,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
1514,5959963423014912,Carabobo,5,I am unemployed,0.93,Bad_situation,36 to 45 years old,0,1,No,0,Rural,Irregularly,0,0,Male,0,1,1,1,0
1515,5350500013965312,Miranda,1,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
1516,5962072251957248,Miranda,5,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,36 to 45 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,1,Male,0,1,1,1,0
1518,6086042791968768,Miranda,7,I am unemployed,0.88,Better_situation,36 to 45 years old,1,1,No,1,City center or metropolitan area,There are enough,1,1,Male,0,1,1,1,0
1524,5591451923906560,Monagas,8,"I work part-time, either as an employee or self-employed",0.97,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Female,0,1,1,0,0
1525,6194844178579456,Monagas,5,I am unemployed,0.97,Bad_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,0,0,0,0
1527,6537883149402112,Monagas,9,I am unemployed,0.97,Bad_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Female,0,1,0,0,0
1528,5170838595960832,Monagas,9,"I work full-time, either as an employee or self-employed",0.97,Good_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,There are not enough,0,1,Female,0,0,0,1,0
1530,6644370538496000,Táchira,6,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,1,1,1,0
1531,4545639466926080,Táchira,8,I am a student and I work part-time,0.93,Midium_situation,16 to 25 years old,0,1,No,0,Rural,Irregularly,0,1,Male,0,1,1,0,0
1532,6193084785491968,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
1534,5761859717431296,Táchira,5,"I do housework, fulfilling domestic tasks, looking after children",0.93,Better_situation,16 to 25 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
1537,6485823699812352,Trujillo,5,"I do housework, fulfilling domestic tasks, looking after children",0.97,Better_situation,26 to 35 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,1
1540,5280685807108096,Nueva Esparta,9,"I work full-time, either as an employee or self-employed",0.93,Good_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,1,1,0,0
1542,6092479001788416,Bolívar,6,"I do housework, fulfilling domestic tasks, looking after children",0.96,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,0,0
1544,6662589336780800,Zulia,9,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,0,0
1545,6226012219375616,Barinas,8,Employed full-time,0.97,Good_situation,16 to 25 years old,0,1,No,0,City center or metropolitan area,There are not enough,1,0,Male,0,1,1,1,0
1547,4608076161482752,Zulia,9,"I work part-time, either as an employee or self-employed",0.96,Bad_situation,36 to 45 years old,1,1,1 day,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,0,1,1,0
1548,6296924125921280,Zulia,9,"I work part-time, either as an employee or self-employed",0.96,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,0,1,1,1,0
1550,5973754764328960,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Female,0,1,1,0,0
1551,6541585478320128,Táchira,8,"I work full-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,1,1,0,0
1552,6024194927362048,Táchira,7,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,16 to 25 years old,0,1,No,0,Rural,Irregularly,0,0,Female,0,1,1,0,0
1556,4684492823592960,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,1,0,Male,0,1,1,0,0
1558,4961512912584704,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,Rural,There are enough,1,0,Female,0,1,1,1,0
1561,4625428097794048,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,1,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,0,1,1,0
1563,5161263251587072,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,1,1,0,0
1564,4755878401277952,Táchira,9,I am unemployed,0.93,Good_situation,26 to 35 years old,0,0,3 days,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,1,1,0
1566,4997067926929408,Táchira,9,I am unemployed,0.93,Better_situation,16 to 25 years old,0,0,No,0,Rural,There are enough,0,0,Male,0,1,0,1,0
1567,5858122970431488,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,1,0
1568,6372260687642624,Táchira,7,"I work full-time, either as an employee or self-employed",0.93,Bad_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,1,0,Female,0,1,1,0,0
1569,5599405414809600,Táchira,5,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,1,0,Male,0,1,0,0,0
1570,6711310304935936,Táchira,5,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Female,0,1,0,1,0
1571,5550930467749888,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,1,No,0,Rural,Irregularly,1,0,Male,0,1,0,0,0
1572,5511157124431872,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
1573,5480613263179776,Táchira,7,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,1,1,0,0
1580,5955007500517376,Táchira,7,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,0,1,1,1,0
1581,6508349477879808,Táchira,9,I am retired,0.93,Midium_situation,Over 45 years old,0,0,No,0,Rural,Irregularly,1,0,Female,0,1,1,0,0
1584,6064629594980352,Táchira,9,"I work full-time, either as an employee or self-employed",0.93,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Female,0,0,0,0,0
1586,5244989998366720,Táchira,5,"I work part-time, either as an employee or self-employed",0.93,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
1587,5142387541409792,Táchira,9,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,1,0,Male,0,1,1,0,0
1590,5598350580908032,Sucre,9,"I work full-time, either as an employee or self-employed",0.98,Good_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,0,0,1,0
1591,4600913900863488,Sucre,5,I am a student,0.98,Bad_situation,16 to 25 years old,0,0,No,0,Rural,There are not enough,0,0,Male,0,1,1,0,0
1593,6268315097104384,Sucre,1,None of the above,0.98,Bad_situation,16 to 25 years old,1,0,No,0,Rural,There are enough,0,1,Female,0,1,1,1,0
1595,5265635654500352,Sucre,7,"I work part-time, either as an employee or self-employed",0.98,Better_situation,36 to 45 years old,0,0,1 day,0,Suburban/Peri-urban,Irregularly,0,1,Male,0,1,0,0,1
1599,6567457421787136,Sucre,7,"I work full-time, either as an employee or self-employed",0.98,Good_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,1,1,1,0
